Object_ID,Funding Agency,Year,State,City,Grantee,Awarded Funds,Spent Funds (if applicable) ,"Classification 1: Project Type, primary code (a)","Classification 1: Project Type, primary code (b)","Classification 1: Project Type, primary code (c)","Classification 1: Project Type, secondary code (a)","Classification 1: Project Type, secondary code (b)","Classification 1: Project Type, secondary code (c)",Classification 2: Infrastructure type (I),Classification 2: Infrastructure type (II),Classification 3: Industrial Sector (i),Classification 3: Industrial Sector (ii),Project Title,Award ID,count,FIPS,fips2,County,PctPopChg_09to19,PctChange_MiningEmploy_09to15,mine emply bands,NewMineFlag_09to15,NonMiningFlag_09to15,ARC_Flag,Status,AvgUnempRate_3yr,PerCapMktInc,PovertyRt_5yr,AvgUnemp_PctOfUS_3yr,PCMI_pctOfUs,PovRt_PercOfUS,IndexValueRank,Quartile,EMPTHREEYEAR,UNEMPTHREEYEAR,BEAPOP,PoveryPop_5YrMean
281,ARC,2020,Pennsylvania,University Park,Pennsylvania State University,1499225,,Business Development,,,Entrepreneurial Support;Technical Assistance,,,,,Education,,Enhancing the Tri-State Entrepreneurial Ecosystem Through the Innovation Beehive Network,ARC20C20087,1,42027,42027,Centre County,0.054516527047210855,-1.0,-1.0,0,0,ARC,Transitional,3.9,37527.0,18.4,81.7,87.6,126.2,1230.0,2.0,75367.0,3098.0,162660.0,26291.0
252,ARC,2018,Pennsylvania,Clarion,Clarion University of Pennsylvania,1100000,,Education and Workforce Development,,,Training Program,,,,,Petrochemicals,,Northwest Pennsylvania Diversifying the Regional Economy,,1,42031,42031,Clarion County,-0.038761628488546564,-0.9754098360655737,-0.9754098360655737,0,0,ARC,Transitional,6.7,26237.0,18.2,107.0,66.0,117.6,1939.0,3.0,17209.0,1238.0,39498.0,6881.0
233,EDA,2019,Pennsylvania,Clearfield,Clearfield County Economic Development Corporation,2000000,,Business Development,,,Infrastructure Investment,,,Building Construction/Renovation,,manufacturing ,,,017914888,1,42033,42033,Clearfield County,-0.029237402317434654,-0.4083916083916084,-0.4083916083916084,0,0,ARC,Transitional,7.1,29567.0,14.8,130.0,72.7,98.3,1779.0,3.0,33952.0,2581.0,80596.0,11196.0
275,ARC,2020,Pennsylvania,DuBois,City of DuBois,500000,,Health,,,Infrastructure Investment,,,Building Construction/Renovation,,,,Penn Highlands Healthcare Behavioral Health Hospital,ARC20C20070,1,42033,42033,Clearfield County,-0.029237402317434654,-0.4083916083916084,-0.4083916083916084,0,0,ARC,Transitional,6.6,30959.0,15.3,137.4,72.2,105.1,1893.0,3.0,33792.0,2403.0,79685.0,11463.0
261,ARC,2019,Pennsylvania,Clearfield,Clearfield County,725850,,Business Development,Education and Workforce Development,,Infrastructure Investment;Technical Assistance;Entrepreneurial Support,Training Program,,Equipment and Materials,,Manufacturing,,North Central PA Launchbox and Innovation Collaborative,,1,42033,42033,Clearfield County,-0.029237402317434654,-0.4083916083916084,-0.4083916083916084,0,0,ARC,Transitional,7.1,29567.0,14.8,130.0,72.7,98.3,1779.0,3.0,33952.0,2581.0,80596.0,11196.0
276,ARC,2020,Pennsylvania,Meadville,Crawford County,1500000,,Economic Asset Development,,,Infrastructure Investment,,,Trail Construction,,Tourism/hospitality industry/outdoor recreation,,Erie to Pittsburgh Trail-PA Wilds Loop Trail Construction,ARC20C20088,1,42039,42039,Crawford County,-0.04659494169999437,0.0,0.0,0,1,ARC,Transitional,5.6,27435.0,14.5,115.3,64.0,99.4,1784.0,3.0,38073.0,2245.0,86159.0,12032.0
237,ETA,2016,Pennsylvania,Harrisburg,Pennsylvania Department of Labor and Industry,1276400,823195.0,Education and Workforce Development,,,Training Program,,,,,multi-sector,,PA-Regular- POWER DWG,EM281141660A42,1,42043,42043,Dauphin County,0.03804177545691906,-0.1111111111111111,-0.1111111111111111,0,0,,Transitional,7.5,36925.0,13.3,91.7,99.5,86.4,953.0,2.0,128210.0,10326.0,270937.0,34965.0
226,EDA,2017,Pennsylvania,Harrisburg,Pennsylvania Department of Community and Economic Development,77700,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,petrochemical and plastics industries,,,016914781,1,42043,42043,Dauphin County,0.03804177545691906,-0.1111111111111111,-0.1111111111111111,0,0,,Transitional,6.5,36711.0,13.6,90.9,96.3,87.4,954.0,2.0,131191.0,9186.0,271453.0,36145.0
223,EDA,2016,Pennsylvania,Harrisburg,Pennsylvania Department of Community and Economic Development,960000,960000.0,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,undetermined/not specific,,,017914734,1,42043,42043,Dauphin County,0.03804177545691906,-0.1111111111111111,-0.1111111111111111,0,0,,Transitional,7.5,36925.0,13.3,91.7,99.5,86.4,953.0,2.0,128210.0,10326.0,270937.0,34965.0
279,ARC,2020,Pennsylvania,Ridgway,North Central Pennsylvania Regional Planning and Development Commission,600000,,"Research, Planning, Feasibility Studies",,,Infrastructure Investment,,,Broadband,,,,Pennsylvania LDDAP Statewide Broadband Initiative,ARC20C20054,1,42047,42047,Elk County,-0.06373254867589057,-0.7962962962962963,-0.7962962962962963,0,0,ARC,Transitional,5.1,34782.0,9.4,105.6,81.2,64.3,919.0,2.0,15392.0,828.0,30197.0,2846.0
259,ARC,2019,Pennsylvania,Ridgway,North Central Pennsylvania Regional Planning and Development Commission,60000,,"Research, Planning, Feasibility Studies",,,Infrastructure Investment,,,Transportation/Transit Infrastructure,,,,Regional Freight & Mobility Plan for Coal Impacted Communities in North Central PA,ARC20C8312,1,42047,42047,Elk County,-0.06373254867589057,-0.7962962962962963,-0.7962962962962963,0,0,ARC,Competitive,5.2,33642.0,8.8,95.9,82.7,58.0,773.0,1.0,15506.0,852.0,30480.0,2688.0
260,ARC,2019,Pennsylvania,Erie,City of Erie,500000,,Economic Asset Development,,,Infrastructure Investment,,,Broadband,,,,Pennsylvania Broadband Deployment,,1,42049,42049,Erie County,-0.038629056977680834,-1.0,-1.0,0,0,ARC,Transitional,6.1,30177.0,16.7,111.7,74.2,110.3,1680.0,3.0,126451.0,8174.0,276207.0,44452.0
234,EDA,2017,Pennsylvania,Erie,Gannon University,1000000,,Business Development,,,Technical Assistance;Entrepreneurial Support,,,,,undetermined/not specific,,,017914776,1,42049,42049,Erie County,-0.038629056977680834,-1.0,-1.0,0,0,ARC,Transitional,7.2,28654.0,16.7,99.3,75.2,107.1,1631.0,3.0,126206.0,9721.0,278443.0,44743.0
266,ARC,2019,Pennsylvania,Lamont Furnace,Fay-Penn Economic Development Council,20000,,"Research, Planning, Feasibility Studies",,,Infrastructure Investment,,,Building Construction/Renovation,Site Preparation,,,Fayette County Multi-Tenant Spec Building Feasibility Study,ARC19C19702,1,42051,42051,Fayette County,-0.05367260588846756,-0.5,-0.5,0,0,ARC,Transitional,7.8,26487.0,18.6,144.2,65.1,123.3,2324.0,3.0,53978.0,4589.0,132733.0,24277.0
244,ARC,2017,Pennsylvania,Uniontown,"Fayette County Community Action Agency, Inc.",1750000,,Business Development,"Research, Planning, Feasibility Studies",,Technical Assistance;Entrepreneurial Support,Economic or Business Development Planning,,,,"Forestry, Farming",,Southwestern PA Development of a Local Food Shed,,1,42051,42051,Fayette County,-0.05367260588846756,-0.5,-0.5,0,0,ARC,Transitional,9.0,25836.0,19.0,124.8,67.8,122.0,2173.0,3.0,54105.0,5342.0,134086.0,25018.0
277,ARC,2020,Pennsylvania,Uniontown,Fayette County,917368,,Health,,,Substance Abuse Program;Improve Access to Care,,,,,"Health, social services",,The Recovery to Reemployment (Remote Monitoring),ARC20C20112,1,42051,42051,Fayette County,-0.05367260588846756,-0.5,-0.5,0,0,ARC,At-Risk,7.5,27345.0,18.8,155.5,63.8,129.2,2444.0,4.0,53836.0,4373.0,131504.0,24348.0
267,ARC,2019,Pennsylvania,Waynesburg,Greene County Board of Commissioners,50000,,"Research, Planning, Feasibility Studies",,,Infrastructure Investment,,,Broadband,,,,Rural Broadband Coverage and Feasibility Study,ARC19C19688,1,42059,42059,Greene County,-0.06340795119681539,0.018914473684210526,0.018914473684210526,0,0,ARC,Transitional,6.4,31707.0,15.3,118.1,77.9,101.2,1575.0,3.0,16914.0,1160.0,37197.0,5141.0
228,EDA,2018,Pennsylvania,Mifflintown,"Juniata Business and Industry, Inc",1890000,,Business Development,,,Infrastructure Investment,,,Water/Wastewater,Broadband,manufacturing,,,017914836,1,42067,42067,Juniata County,0.005155057639227147,0.0,0.0,0,1,ARC,Transitional,5.9,29712.0,13.2,93.5,74.7,85.6,1255.0,2.0,11247.0,700.0,24737.0,3245.0
263,ARC,2019,Pennsylvania,Scranton,"tecBRIDGE, LLC",50000,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,Undefined/nonspecific,,Enhancing Northeastern Pennsylvania's Entrepreneurial Ecosystem - Incubator Optimization,,1,42069,42069,Lackawanna County,-0.02221165190708693,-0.5789473684210527,-0.5789473684210527,0,0,ARC,Transitional,6.0,32730.0,15.3,111.1,80.5,101.1,1453.0,2.0,100261.0,6440.0,211321.0,31288.0
280,ARC,2020,Pennsylvania,Lancaster,Pennsylvania Peer Support Coalition,1000000,,Health,Education and Workforce Development,,Substance Abuse Program,Training Program,,,,"Health, social services",,Building a Peer Support Workforce in Pennsylvania,ARC20C20072,1,42071,42071,Lancaster County,0.05059053412777099,0.0,0.0,0,1,,Competitive,4.0,40811.0,10.4,83.2,95.2,71.1,527.0,1.0,267518.0,11205.0,542903.0,54244.0
229,EDA,2019,Pennsylvania,King of Prussia,Recycle the World Inc.,2350000,,Business Development,,,Infrastructure Investment,,,Building Construction/Renovation,,undetermined/not specific,,,"017914875
",1,42091,42091,Montgomery County,0.03880736215954013,-0.16666666666666666,-0.16666666666666666,0,0,,Attainment,4.3,64101.0,6.6,79.5,157.6,43.5,80.0,1.0,422818.0,19096.0,821725.0,52250.0
225,EDA,2016,Pennsylvania,Philadelphia,The Trustees of the University of Pennsylvania,80142,71940.0,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,multi-sector,,,016914738,1,42101,42101,Philadelphia County,0.03804572196963839,0.0,0.0,0,1,,At-Risk,10.6,31370.0,26.5,129.9,84.5,172.4,2479.0,4.0,583961.0,68954.0,1553165.0,395789.0
236,SBA,2016,Pennsylvania,Philadelphia,The Trustees of the University of Pennsylvania,100000,100000.0,Business Development,,,Technical Assistance;Entrepreneurial Support,,,,,undetermined/not specific,,Portability Assistance,SBAHQ16B0077,1,42101,42101,Philadelphia County,0.03804572196963839,0.0,0.0,0,1,,At-Risk,10.6,31370.0,26.5,129.9,84.5,172.4,2479.0,4.0,583961.0,68954.0,1553165.0,395789.0
282,ARC,2020,Pennsylvania,Somerset,Somerset County,1000000,,Health,Education and Workforce Development,,Substance Abuse Program;Infrastructure Investment,Training Program,,Building Construction/Renovation,,"Health, social services",,Twin Lakes Center Expansion,ARC20C19710,1,42111,42111,Somerset County,-0.05524684211880322,-0.38634046890927626,-0.38634046890927626,0,0,ARC,Transitional,6.7,28591.0,12.7,138.8,66.7,86.9,1840.0,3.0,31791.0,2285.0,74501.0,8935.0
264,ARC,2019,Pennsylvania,Wellsboro,Tioga County,2500000,,Economic Asset Development,,,Infrastructure Investment,,,Broadband,,,,Northern Pennsylvania Broadband Connectivity Project,,1,42117,42117,Tioga County,-0.033110216526523906,-1.0,-1.0,0,0,ARC,Transitional,6.9,26290.0,13.4,126.7,64.6,88.8,1832.0,3.0,18867.0,1395.0,41467.0,5509.0
283,ARC,2020,Pennsylvania,Lewisburg,Union County,2500000,,Economic Asset Development,,,Infrastructure Investment,,,Broadband,,,,4-County Central Pennsylvania Rural Broadband Deployment,ARC20C20081,1,42119,42119,Union County,-0.0005339622221727813,0.0,0.0,0,1,ARC,Transitional,4.5,31912.0,10.2,94.0,74.5,69.7,984.0,2.0,18755.0,893.0,44595.0,3639.0
257,ARC,2018,Pennsylvania,Lewisburg,SEDA-Council of Governments,40000,,"Research, Planning, Feasibility Studies",,,Infrastructure Investment,,,Broadband,,,,Central PA Rural Broadband Coverage and Feasibility Study,ARC20C8290C39,1,42119,42119,Union County,-0.0005339622221727813,0.0,0.0,0,1,ARC,Transitional,5.2,29483.0,12.8,83.2,74.1,82.8,1118.0,2.0,18188.0,1002.0,44954.0,4554.0
246,ARC,2017,Pennsylvania,Lewisburg,SEDA-Council of Governments,471843,,Economic Asset Development,Business Development,,Outdoor/Recreational Development;Infrastructure Investment,Entrepreneurial Support,,Site Preparation,Cellular Communications;Broadband;Trail Construction,Tourism/hospitality industry/outdoor recreation,,Central PA Asset Based Economy - Adaptive Reuse of Coal-Impacted Land and Outdoor Recreation as an Economic Engine,,1,42119,42119,Union County,-0.0005339622221727813,0.0,0.0,0,1,ARC,Transitional,6.0,28082.0,11.8,82.8,73.7,75.7,1076.0,2.0,18003.0,1142.0,44874.0,4217.0
274,ARC,2020,Pennsylvania,Lewisburg,Central Pennsylvania Workforce Development Corporation,1018500,,Health,Education and Workforce Development,,Substance Abuse Program,Training Program,,,,Government/civil service,,Reboot Workforce Program: Recovery at Work in Central Pennsylvania,ARC20C20057,1,42119,42119,Union County,-0.0005339622221727813,0.0,0.0,0,1,ARC,Transitional,4.5,31912.0,10.2,94.0,74.5,69.7,984.0,2.0,18755.0,893.0,44595.0,3639.0
245,ARC,2017,Pennsylvania,Oil City,Northwest PA Regional Planning and Development Commission,100000,,"Research, Planning, Feasibility Studies",,,Infrastructure Investment,,,Broadband,,Broadband installation,,Northwest PA Broadband Assessment,,1,42121,42121,Venango County,-0.07849556234540957,-0.45,-0.45,0,0,ARC,Transitional,7.2,24335.0,16.0,99.3,63.8,102.4,1830.0,3.0,23578.0,1817.0,53529.0,8487.0
270,ARC,2019,Pennsylvania,Franklin,Venango County Economic Development Authority,1500000,,Business Development,Economic Asset Development,,Infrastructure Investment,Infrastructure Investment,,Building Construction/Renovation,Broadband,Undefined/nonspecific,,Business Innovation Center and Fiber Optic Expansion,*010114914,1,42121,42121,Venango County,-0.07849556234540957,-0.45,-0.45,0,0,ARC,Transitional,6.4,25159.0,14.4,117.3,61.8,95.4,1876.0,3.0,22781.0,1551.0,52582.0,7535.0
265,ARC,2019,Pennsylvania,Youngsville,Youngsville Television Corporation,1014730,,Economic Asset Development,,,Infrastructure Investment,,,Broadband,,,,NWPA Regional Broadband Deployment Initiative,,1,42123,42123,Warren County,-0.06275260074136076,0.0,0.0,0,1,ARC,Transitional,5.3,28742.0,12.7,96.8,70.7,84.2,1317.0,2.0,18924.0,1051.0,40025.0,5042.0
235,EDA,2019,Pennsylvania,Russell,"Pennsylvania Wilds Center for Entrepreneurship, Inc.",860000,,Business Development,,,Technical Assistance;Market Development,,,,,manufacturing,,,"017914870

",1,42123,42123,Warren County,-0.06275260074136076,0.0,0.0,0,1,ARC,Transitional,5.3,28742.0,12.7,96.8,70.7,84.2,1317.0,2.0,18924.0,1051.0,40025.0,5042.0
240,ARC,2016,Pennsylvania,Russell,"Pennsylvania Wilds Center for Entrepreneurship, Inc.",500000,,Economic Asset Development,Business Development,,Outdoor/Recreational Development,Market Development,,,,Tourism/hospitality industry/outdoor recreation,,Nature Tourism Cluster Development in the PA Wilds,,1,42123,42123,Warren County,-0.06275260074136076,0.0,0.0,0,1,ARC,Transitional,6.7,28363.0,12.6,82.5,76.4,82.2,1134.0,2.0,20044.0,1440.0,40885.0,5112.0
231,EDA,2017,Pennsylvania,Prosperity,"United Mine Workers Association Career Centers, Inc",1700000,,Education and Workforce Development,,,Infrastructure Investment,,,Building Construction/Renovation,,Commercial drivers license,,,017914782,1,42125,42125,Washington County,-0.004595322875565393,-0.26572668112798264,-0.26572668112798264,0,0,ARC,Competitive,6.7,38715.0,10.5,92.4,101.6,67.4,698.0,1.0,99679.0,7102.0,208187.0,21377.0
250,ARC,2017,Pennsylvania,Washington,"Washington Greene County Job Training Agency, Inc.",1489945,,Education and Workforce Development,,,Training Program,,,,,Digital technology,,ARCODE Initiative – Appalachian Region Code Initiative,,1,42125,42125,Washington County,-0.004595322875565393,-0.26572668112798264,-0.26572668112798264,0,0,ARC,Competitive,6.7,38715.0,10.5,92.4,101.6,67.4,698.0,1.0,99679.0,7102.0,208187.0,21377.0
249,ARC,2017,Pennsylvania,Washington,"Washington Greene County Job Training Agency, Inc.",653400,,Education and Workforce Development,,,Training Program,,,,,Energy,,Transitioning from Black to Blue: Training Former Coal Workers for Natural Gas Utility and Pipeline Careers in Appalachia,,1,42125,42125,Washington County,-0.004595322875565393,-0.26572668112798264,-0.26572668112798264,0,0,ARC,Competitive,6.7,38715.0,10.5,92.4,101.6,67.4,698.0,1.0,99679.0,7102.0,208187.0,21377.0
242,ARC,2016,Pennsylvania,Prosperity,"United Mine Workers Association Career Centers, Inc",14214,,Leadership and community capacity development,,,Investment in Leadership/Community Resources,,,,,multi-sector,,ARC POWER TA Grant Application Development,,1,42125,42125,Washington County,-0.004595322875565393,-0.26572668112798264,-0.26572668112798264,0,0,ARC,Competitive,7.2,40033.0,10.5,88.9,107.8,68.6,649.0,1.0,100524.0,7831.0,208206.0,21437.0
248,ARC,2017,Pennsylvania,Prosperity,"United Mine Workers Association Career Centers, Inc",1200000,,Education and Workforce Development,,,Training Program,,,,,Multi-sector/multi-career prep,,New Start Retraining Initiative for Dislocated Coal Industry Workers,,1,42125,42125,Washington County,-0.004595322875565393,-0.26572668112798264,-0.26572668112798264,0,0,ARC,Competitive,6.7,38715.0,10.5,92.4,101.6,67.4,698.0,1.0,99679.0,7102.0,208187.0,21377.0
284,ARC,2020,Pennsylvania,Honesdale,Wayne County,1500000,,Health,,,Infrastructure Investment,,,Building Construction/Renovation,,"health, social services",,Wayne County Recovery-to-Work Facility,ARC20C20068,1,42127,42127,Wayne County,-0.027658929991291506,0.0,0.0,0,1,ARC,Transitional,5.5,30634.0,11.1,114.7,71.5,76.1,1347.0,2.0,21197.0,1244.0,51205.0,5323.0
287,EDA,2015,Tennessee,Oak Ridge,Tech 2020,250000,250000.0,Business Development,,,Entrepreneurial Support;Technical Assistance,,,,,manufacturing,,Center for Entrepreneurial Growth Program,048607104,1,47001,47001,Anderson County,0.024611002409189526,-0.9384615384615385,-0.9384615384615385,0,0,ARC,Transitional,8.5,29589.0,16.7,95.2,81.7,112.4,1539.0,2.0,33455.0,3092.0,75416.0,12381.0
300,ARC,2019,Tennessee,Shelbyville,Duck River Electric Membership Corporation,2147125,,Economic Asset Development,,,Infrastructure Investment,,,Broadband,Energy Infrastructure,,,Duck River EMC's East Loop Fiber Optic and Smart Grid Project,,1,47003,47003,Bedford County,0.10331128767366506,0.0,0.0,0,1,,Transitional,6.3,25720.0,16.3,115.9,63.2,107.6,1950.0,3.0,18347.0,1233.0,47484.0,7423.0
291,EDA,2015,Tennessee,Alcoa,East Tennessee Development District,35000,35000.0,"Research, Planning, Feasibility Studies",,,Infrastructure Investment,,,Broadband,,undetermined/not specific,,Campbell County TN Implementation Plan to Improve Broadband Access,047907107,1,47009,47009,Blount County,0.08192829851231608,0.0,0.0,0,1,ARC,Transitional,7.7,26295.0,12.7,86.3,72.6,85.6,1301.0,2.0,59272.0,4922.0,124177.0,15390.0
302,ARC,2019,Tennessee,Alcoa,East Tennessee Development District,1546400,,Education and Workforce Development,,,Training Program,,,,,Multi-sector/multi-career prep,,Workforce Development and Re-employment Opportunities,ARC19C19728,1,47009,47009,Blount County,0.08192829851231608,0.0,0.0,0,1,ARC,Transitional,5.2,30277.0,13.6,95.2,74.4,89.8,1278.0,2.0,56654.0,3091.0,128670.0,16793.0
305,ARC,2019,Tennessee,Rogersville,Holston Electric Cooperative,862017,,Economic Asset Development,,,Infrastructure Investment,,,Broadband,,,,Holston Electric Cooperative Rural Broadband,ARC19C19682,1,47073,47073,Hawkins County,-0.0008269843224886949,0.0,0.0,0,1,ARC,At-Risk,6.4,21306.0,19.2,117.6,52.4,127.2,2433.0,4.0,22186.0,1515.0,56563.0,10706.0
289,EDA,2020,Tennessee,Mountain City,Town of Mountain City,1501400,,Business Development,,,Infrastructure Investment,,,Water/Wastewater,,manufacturing,,,047907468,1,47091,47091,Johnson County,-0.02499451874588906,0.0,0.0,0,1,ARC,At-Risk,4.8,20076.0,25.3,98.7,46.8,173.5,2707.0,4.0,7130.0,357.0,17691.0,4030.0
299,ARC,2019,Tennessee,Knoxville,Appalachian Investors Alliance,577840,,Business Development,,,Access to Capital,,,,,Multi-sector,,Appalachian Investors Alliance (AIA) - Angel Investing in Coal Communities,,1,47093,47093,Knox County,0.08811825295100248,0.0,0.0,0,1,ARC,Transitional,4.7,38510.0,16.2,86.5,94.7,107.1,1046.0,2.0,218569.0,10784.0,456132.0,70612.0
292,ARC,2016,Tennessee,Knoxville,RAIN Source Capital Inc,499480,,Business Development,,,Access to Capital,,,,,Undefined/nonspecific,,Appalachian Angel Investor Network,,1,47093,47093,Knox County,0.08811825295100248,0.0,0.0,0,1,ARC,Transitional,6.7,34301.0,14.6,82.5,92.4,95.0,1029.0,2.0,216189.0,15546.0,444622.0,61992.0
295,ARC,2017,Tennessee,Knoxville,Southwestern Pennsylvania Corporation,500000,,Business Development,,,Entrepreneurial Support;Technical Assistance,,,,,Undefined/nonspecific,,LaunchTN's Entrepreneurial Education & Workforce Development,,1,47093,47093,Knox County,0.08811825295100248,0.0,0.0,0,1,ARC,Transitional,6.0,35610.0,15.3,82.7,93.4,98.2,1006.0,2.0,214302.0,13574.0,448644.0,65635.0
301,ARC,2019,Tennessee,,Lawrence County,35000,,"Research, Planning, Feasibility Studies",,,Infrastructure Investment,,,Broadband,,,,Lawrence County Broadband Feasibility Study,,1,47099,47099,Lawrence County,0.05428837564785402,0.0,0.0,0,1,ARC,At-Risk,6.8,21797.0,19.5,125.4,53.6,128.9,2473.0,4.0,16529.0,1209.0,43081.0,8136.0
297,ARC,2018,Tennessee,,Marion County,1501499,,Education and Workforce Development,,,Infrastructure Investment,,,Building Construction/Renovation,,Multi-sector/multi-career prep,,Marion County Regional Center for Higher Education Phase II & III,,1,47115,47115,Marion County,0.023727733116124233,0.0,0.0,0,0,ARC,Transitional,8.0,24506.0,19.2,126.9,61.6,124.0,2289.0,3.0,10883.0,941.0,28487.0,5350.0
298,ARC,2018,Tennessee,Decatur,Volunteer Energy Cooperative,1500000,,Economic Asset Development,,,Infrastructure Investment,,,Broadband,Energy Infrastructure,,,Volunteer Energy Cooperative Smart Grid and Fiber Optic Deployment Project,,1,47121,47121,Meigs County,0.0569216370288437,0.0,0.0,0,1,ARC,At-Risk,8.9,19817.0,20.8,141.6,49.8,134.7,2718.0,4.0,4491.0,438.0,11830.0,2377.0
290,EDA,2020,Tennessee,Wartburg,City of Wartburg,1271432,,Economic Asset Development,,,Infrastructure Investment,,,Water/Wastewater,,tourism ,,,047907469,1,47129,47129,Morgan County,-0.026561149770318825,0.0,0.0,0,1,ARC,Distressed,6.2,18856.0,22.9,129.2,44.0,157.3,2826.0,4.0,7307.0,486.0,21636.0,4279.0
306,ARC,2019,Tennessee,Blountville,Northeast State Community College,1566927,,Education and Workforce Development,,,Infrastructure Investment;Training Program,,,Building Construction/Renovation,Equipment and Materials,Aviation/aerospace,,Advancing Aviation Technology,ARC19C19484,1,47163,47163,Sullivan County,0.009724338904369894,0.0,0.0,0,1,ARC,Transitional,5.9,28673.0,16.8,108.2,70.5,111.5,1751.0,3.0,65549.0,4096.0,156667.0,25982.0
307,ARC,2020,Tennessee,Bristol,Appalachian College Association,40713,,"Research, Planning, Feasibility Studies",,,Workforce Training Program Planning;Health,,,,,undefined/nonspecific,,Creating a Regional Network of Collegiate Recovery Programs Feasibility Study,ARC20C20095,1,47163,47163,Sullivan County,0.009724338904369894,0.0,0.0,0,1,ARC,Transitional,5.0,30468.0,16.6,103.1,71.1,113.6,1644.0,3.0,66199.0,3469.0,157158.0,25508.0
296,ARC,2018,Tennessee,Kingsport,Appalachian Community Federal Credit Union,68000,,"Research, Planning, Feasibility Studies",,,Workforce Training Program Planning,,,,,,,"""Funding the Future"" Pre-Implementation Study",,1,47163,47163,Sullivan County,0.009724338904369894,0.0,0.0,0,1,ARC,Transitional,6.7,28328.0,17.5,107.2,71.2,112.8,1783.0,3.0,65594.0,4725.0,156791.0,26924.0
293,ARC,2016,Tennessee,Erwin,Erwin Utilities,400000,,Economic Asset Development,,,Infrastructure Investment,,,Broadband,,Broadband installation,,Erwin Utilities - Temple Hill & Bumpus Cove Broadband,,1,47171,47171,Unicoi County,-0.023480587560749194,0.0,0.0,0,1,ARC,At-Risk,9.5,20692.0,21.7,116.4,55.7,141.3,2587.0,4.0,7619.0,796.0,18082.0,3891.0
304,ARC,2019,Tennessee,Erwin,Erwin Utilities,342646,,Economic Asset Development,,,Infrastructure Investment,,,Broadband,,,,Northern Unicoi County Broadband,ARC19C19674,1,47171,47171,Unicoi County,-0.023480587560749194,0.0,0.0,0,1,ARC,At-Risk,8.1,22142.0,21.0,148.2,54.4,139.2,2648.0,4.0,6516.0,571.0,17719.0,3687.0
309,ARC,2020,Tennessee,Erwin,Erwin Utilities,400333,,Economic Asset Development,,,Infrastructure Investment,,,Broadband,,,,Northern Unicoi County Broadband,ARC20C20080,1,47171,47171,Unicoi County,-0.023480587560749194,0.0,0.0,0,1,ARC,At-Risk,6.8,23031.0,20.1,140.7,53.7,138.0,2589.0,4.0,6548.0,478.0,17759.0,3502.0
294,ARC,2016,Tennessee,Unicoi,Town of Unicoi,353086,,Business Development,,,Entrepreneurial Support;Infrastructure Investment,,,Equipment and Materials,,Manufacturing,,Unicoi - Mountain Harvest Kitchen Incubator & Entrepreneurial Training Program,,1,47171,47171,Unicoi County,-0.023480587560749194,0.0,0.0,0,1,ARC,At-Risk,9.5,20692.0,21.7,116.4,55.7,141.3,2587.0,4.0,7619.0,796.0,18082.0,3891.0
288,EDA,2018,Tennessee,Johnson City,City of Johnson City,1500000,,Business Development,,,Infrastructure Investment,,,Water/Wastewater,,undetermined/not specific,,,047907274,1,47179,47179,Washington County,0.052008879564803746,0.0,0.0,0,1,ARC,Transitional,6.4,29919.0,18.1,102.1,75.2,116.8,1691.0,3.0,54454.0,3724.0,126302.0,21842.0
303,ARC,2019,Tennessee,Johnson City,East Tennessee State University,727815,,Business Development,,,Entrepreneurial Support;Technical Assistance,,,,,Digital arts industry,,Create Appalachia Arts & Technology Economic Development Initiative,ARC19C19723,1,47179,47179,Washington County,0.052008879564803746,0.0,0.0,0,1,ARC,Transitional,5.6,30657.0,17.1,102.3,75.4,113.3,1582.0,3.0,54820.0,3226.0,127440.0,20810.0
308,ARC,2020,Tennessee,Johnson City,"Northeast Tennessee Regional Foundation for Economic Development, Innovation, and Outdoor Recreation",44450,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,Tourism/hospitality industry/outdoor recreation,,Northeast Tennessee Regional Outdoor Development Strategic Plan,,1,47179,47179,Washington County,0.052008879564803746,0.0,0.0,0,1,ARC,Transitional,4.7,32459.0,16.5,97.1,75.7,113.4,1464.0,2.0,55881.0,2752.0,127806.0,20127.0
310,EDA,2019,Texas,Cameron,Milam County,212500,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,undetermined/not specific,,,"086905331

",1,48331,48331,Milam County,0.0026659126711637113,-1.0,-1.0,0,0,,Transitional,5.6,24604.0,15.5,102.3,60.5,102.3,1828.0,3.0,9626.0,567.0,24871.0,3692.0
311,ETA,2016,Texas,Austin,Texas Workforce Commission,559005,345748.0,Education and Workforce Development,,,Training Program,,,,,manufacturing,,TX-Regular-POWER,EM296021660A48,1,48453,48453,Travis County,0.24377261375463014,0.0,0.0,0,1,,Transitional,5.8,43960.0,17.4,71.6,118.4,113.4,862.0,2.0,562481.0,34759.0,1120954.0,181531.0
